Year,ID,Spp,Length,Weight,Spine,Sex,Date,Comment,AgeCon,KeyAge,Discharge,Gage.Height,First.Date,LenCat,logtl,logwt,gcat,Ws,Wr,Discharge_cent
2017,51,CCF,533,1165,Y,NA,07/29/2017,51,8,8,180.3,NA,7/28/2018,530,2.7267272090265724,3.0663259253620376,quality,1519.985435424468,76.64547125576006,-0.6088476529324222
2017,52,CCF,451,682,Y,NA,07/29/2017,52,6,6,180.3,NA,7/28/2018,450,2.6541765418779604,2.833784374656479,quality,876.7131666966776,77.79055065063899,-0.6088476529324222
2017,54,CCF,384,393,N,NA,07/29/2017,54,NA,5,180.3,NA,7/28/2018,380,2.584331224367531,2.5943925503754266,stock,516.1632177110365,76.1387070048864,-0.6088476529324222
2017,56,CCF,532,1212,N,NA,07/29/2017,56,NA,7,180.3,NA,7/28/2018,530,2.7259116322950483,3.0835026198302673,quality,1510.6119528911888,80.23238513903787,-0.6088476529324222
2017,57,CCF,500,1083,Y,NA,07/29/2017,57,7,7,180.3,NA,7/28/2018,500,2.6989700043360187,3.0346284566253203,quality,1231.422811108337,87.94704712553198,-0.6088476529324222
2017,58,CCF,530,1285,N,NA,07/29/2017,58,NA,7,180.3,NA,7/28/2018,530,2.724275869600789,3.1089031276673134,quality,1491.9858849021584,86.12682016655056,-0.6088476529324222
2017,59,CCF,507,1063,Y,NA,07/29/2017,59,6,6,180.3,NA,7/28/2018,500,2.705007959333336,3.0265332645232967,quality,1289.1285242503982,82.45880686086848,-0.6088476529324222
2017,60,CCF,573,1590,Y,NA,07/29/2017,60,7,7,180.3,NA,7/28/2018,570,2.75815462196739,3.2013971243204513,quality,1929.1292446041798,82.42060527812056,-0.6088476529324222
2017,61,CCF,568,1571,Y,NA,07/29/2017,61,8,8,180.3,NA,7/28/2018,560,2.754348335711019,3.1961761850399735,quality,1874.232298764767,83.82098638655329,-0.6088476529324222
2017,62,CCF,451,817,Y,NA,07/29/2017,62,6,6,180.3,NA,7/28/2018,450,2.6541765418779604,2.9122220565324155,quality,876.7131666966776,93.1889734333901,-0.6088476529324222
2017,64,CCF,542,1185,Y,NA,07/29/2017,63,7,7,180.3,NA,7/28/2018,540,2.733999286538387,3.0737183503461227,quality,1606.177914295292,73.77763007779352,-0.6088476529324222
2017,69,CCF,485,1013,Y,NA,07/29/2017,68,6,6,180.3,NA,7/28/2018,480,2.6857417386022635,3.0056094453602804,quality,1113.8668703569758,90.94444111398612,-0.6088476529324222
2017,70,CCF,417,576,Y,NA,07/29/2017,69,NA,5,180.3,NA,7/28/2018,410,2.6201360549737576,2.760422483423212,quality,677.2174889028265,85.05391686401794,-0.6088476529324222
2017,71,CCF,575,1822,Y,NA,07/29/2017,70,7,7,180.3,NA,7/28/2018,570,2.7596678446896306,3.2605483726369795,quality,1951.3981117231583,93.36895372882704,-0.6088476529324222
2017,72,CCF,495,950,Y,NA,07/29/2017,71,7,7,180.3,NA,7/28/2018,490,2.694605198933569,2.9777236052888476,quality,1191.3229967560915,79.74327722933235,-0.6088476529324222
2017,73,CCF,485,864,Y,NA,07/29/2017,72,7,7,180.3,NA,7/28/2018,480,2.6857417386022635,2.936513742478893,quality,1113.8668703569758,77.56761808734848,-0.6088476529324222
2017,74,CCF,461,814,Y,NA,07/29/2017,73,NA,6,180.3,NA,7/28/2018,460,2.663700925389648,2.910624404889201,quality,942.3903888583759,86.37609313758922,-0.6088476529324222
2017,75,CCF,505,1052,Y,NA,07/29/2017,74,7,7,180.3,NA,7/28/2018,500,2.7032913781186614,3.02201573981772,quality,1272.4531451767257,82.6749498783228,-0.6088476529324222
2017,76,CCF,565,1806,Y,NA,07/29/2017,75,8,8,180.3,NA,7/28/2018,560,2.7520484478194387,3.256717745977487,quality,1841.8217071105635,98.0550936623089,-0.6088476529324222
2017,78,CCF,506,925,Y,NA,07/29/2017,77,7,7,180.3,NA,7/28/2018,500,2.7041505168397992,2.9661417327390325,quality,1280.771934886285,72.22206973813236,-0.6088476529324222
2017,79,CCF,572,1495,Y,NA,07/29/2017,78,7,7,180.3,NA,7/28/2018,570,2.7573960287930244,3.1746411926604483,quality,1918.0614590677847,77.94327929025795,-0.6088476529324222
2017,80,CCF,475,906,Y,NA,07/29/2017,79,7,7,180.3,NA,7/28/2018,470,2.6766936096248664,2.957128197676813,quality,1039.9890103668567,87.11630516945635,-0.6088476529324222
2017,81,CCF,509,981,Y,NA,07/29/2017,80,7,7,180.3,NA,7/28/2018,500,2.7067177823367587,2.9916690073799486,quality,1305.955488772686,75.11741467712093,-0.6088476529324222
2017,82,CCF,512,1099,Y,NA,07/29/2017,81,6,6,180.3,NA,7/28/2018,510,2.709269960975831,3.0409976924234905,quality,1331.4818521257828,82.5396154101077,-0.6088476529324222
2017,83,CCF,473,875,Y,NA,07/29/2017,82,5,5,180.3,NA,7/28/2018,470,2.6748611407378116,2.942008053022313,quality,1025.6344444934584,85.31304742131063,-0.6088476529324222
